epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,1.0369,0.72648,1.0625,0.79031,0.56069,0.58812,0.34655,1.1383,1.1668,1.1346,0.006733,0.006733,0.006733
101,1.0531,0.70862,1.0434,0.768,0.60286,0.61338,0.36871,1.1542,1.1599,1.1284,0.0067,0.0067,0.0067
102,1.0471,0.74155,1.0361,0.7218,0.61888,0.58285,0.3437,1.1236,1.119,1.1326,0.006667,0.006667,0.006667
103,1.0333,0.68956,1.0358,0.80362,0.55083,0.5988,0.35491,1.1477,1.1179,1.1323,0.006634,0.006634,0.006634
104,1.0735,0.73396,1.0569,0.76891,0.55636,0.61186,0.36914,1.1382,1.118,1.1091,0.006601,0.006601,0.006601
105,1.0126,0.70457,1.0298,0.7657,0.54462,0.6046,0.36241,1.1824,1.1614,1.1297,0.006568,0.006568,0.006568
106,1.0581,0.72042,1.0506,0.77044,0.55728,0.60437,0.36923,1.1489,1.1284,1.1252,0.006535,0.006535,0.006535
107,1.0117,0.74598,1.0767,0.73947,0.57364,0.60618,0.37517,1.1451,1.1487,1.1223,0.006502,0.006502,0.006502
108,1.0337,0.74689,1.072,0.73728,0.57307,0.60529,0.37405,1.1498,1.141,1.1318,0.006469,0.006469,0.006469
109,1.024,0.68739,1.0337,0.67292,0.61585,0.5886,0.36211,1.1721,1.1858,1.1313,0.006436,0.006436,0.006436
110,1.0118,0.70112,1.0357,0.67502,0.5454,0.52756,0.33776,1.1396,1.2127,1.128,0.006403,0.006403,0.006403
111,1.0693,0.72491,1.0347,0.62608,0.47771,0.48834,0.31915,1.1758,1.275,1.1677,0.00637,0.00637,0.00637
112,1.0227,0.72002,1.0269,0.69955,0.51081,0.53783,0.35689,1.1778,1.0987,1.1138,0.006337,0.006337,0.006337
113,0.97566,0.68129,1.0264,0.67467,0.55291,0.53489,0.35403,1.1885,1.096,1.124,0.006304,0.006304,0.006304
114,1.0601,0.70243,1.0097,0.74362,0.49818,0.53726,0.34142,1.2158,1.1768,1.1365,0.006271,0.006271,0.006271
115,1.0909,0.72612,1.0266,0.69448,0.56663,0.56052,0.34887,1.1567,1.071,1.1095,0.006238,0.006238,0.006238
116,0.98572,0.70714,1.0471,0.72043,0.59791,0.58784,0.37651,1.1269,1.0797,1.0933,0.006205,0.006205,0.006205
117,0.99161,0.66066,1.0151,0.67428,0.6341,0.59712,0.38397,1.1446,1.0563,1.1055,0.006172,0.006172,0.006172
118,0.93224,0.68156,1.0446,0.72039,0.56954,0.58896,0.37782,1.1343,1.0995,1.1139,0.006139,0.006139,0.006139
119,0.94361,0.67463,1.023,0.78294,0.57243,0.62514,0.40702,1.1647,1.1141,1.1294,0.006106,0.006106,0.006106
120,0.944,0.68683,1.0353,0.8145,0.51775,0.62514,0.40945,1.1565,1.1033,1.1366,0.006073,0.006073,0.006073
121,0.96839,0.67953,1.0408,0.7194,0.62564,0.63,0.41146,1.1717,1.1119,1.1392,0.00604,0.00604,0.00604
122,0.99859,0.68436,1.0192,0.74591,0.65035,0.62088,0.39834,1.1683,1.0939,1.1388,0.006007,0.006007,0.006007
123,1.0025,0.68592,1.0254,0.72383,0.65083,0.60928,0.38301,1.2074,1.0714,1.1427,0.005974,0.005974,0.005974
124,0.97347,0.69439,1.0328,0.77177,0.56874,0.60701,0.38318,1.164,1.0414,1.1319,0.005941,0.005941,0.005941
125,1.0009,0.65026,1.0087,0.73151,0.59572,0.59956,0.38146,1.1609,1.1175,1.1414,0.005908,0.005908,0.005908
126,0.96012,0.64618,1.011,0.74406,0.56519,0.58387,0.35495,1.1692,1.1038,1.1448,0.005875,0.005875,0.005875
127,0.96441,0.65767,1.0318,0.64357,0.6311,0.56659,0.35529,1.1898,1.1391,1.1589,0.005842,0.005842,0.005842
128,0.99172,0.66699,1.0322,0.67623,0.54851,0.57122,0.35742,1.1771,1.1419,1.1614,0.005809,0.005809,0.005809
129,0.9393,0.60612,1.0036,0.66606,0.55788,0.54329,0.35265,1.175,1.1775,1.1546,0.005776,0.005776,0.005776
130,0.96074,0.66711,1.0145,0.65982,0.57066,0.52689,0.34336,1.1674,1.1434,1.1527,0.005743,0.005743,0.005743
131,0.95456,0.68257,1.0308,0.72069,0.48353,0.5294,0.34054,1.1903,1.1551,1.1386,0.00571,0.00571,0.00571
132,0.93727,0.64701,1.0197,0.65409,0.53227,0.5181,0.33061,1.186,1.2139,1.1497,0.005677,0.005677,0.005677
